Company Name,Ticker
EVION GROUP NL,EVG
FAR EAST GOLD LTD,FEG
FORBIDDEN FOODS LIMITED,FFF
FREELANCER LIMITED,FLN
GALENA MINING LIMITED,G1A
GALILEO MINING LTD,GAL
GENERATION DEVELOPMENT GROUP LIMITED,GDG
GPT GROUP,GPT
GREAT WESTERN EXPLORATION LIMITED.,GTE
GREENTECH METALS LIMITED,GRE
HALO TECHNOLOGIES HOLDINGS LTD,HAL
HARVEST TECHNOLOGY GROUP LTD,HTG
HELIA GROUP LIMITED,HLI
HEXAGON ENERGY MATERIALS LIMITED,HXG
HIREMII LIMITED,HMI
INFRATIL LIMITED.,IFT
INTRA ENERGY CORPORATION LIMITED,IEC
INVEX THERAPEUTICS LTD,IXC
IRONBARK ZINC LTD,IBG
LASERBOND LIMITED,LBL
LEGEND MINING LIMITED,LEG
LITHIUM UNIVERSE LIMITED,LU7
LLOYDS BANKING GROUP PLC,LO1
LOCKSLEY RESOURCES LIMITED,LKY
LORD RESOURCES LIMITED,LRD
LOVISA HOLDINGS LIMITED,LOV
MAGNUM MINING AND EXPLORATION LIMITED,MGU
MEGADO MINERALS LTD,MEG
MEMPHASYS LIMITED.,MEM
MIGHTY CRAFT LIMITED,MCL
MIRVAC GROUP,MGR
MOAB MINERALS LIMITED,MOM
MOUNT GIBSON IRON LIMITED,MGX
MPOWER GROUP LIMITED,MPR
MURRAY COD AUSTRALIA LIMITED,MCA
NANOLLOSE LIMITED,NC6
NATIONAL RMBS TRUST 2016-1,NRM
NATIVE MINERAL RESOURCES HOLDINGS LIMITED,NMR
NETLINKZ LIMITED,NET
NEXGEN ENERGY (CANADA) LTD,NXG
NUCOAL RESOURCES LIMITED,NCR
OAKRIDGE INTERNATIONAL LIMITED,OAK
OCEANA LITHIUM LIMITED,OCN
OMNIA METALS GROUP LTD,OM1
ORICA LIMITED,ORI
PACT GROUP HOLDINGS LTD,PGH
PANCONTINENTAL ENERGY NL,PCL
PANTHER METALS LTD,PNT
PENGANA INTERNATIONAL EQUITIES LIMITED,PIA
PEOPLEIN LIMITED,PPE
PEPPER PRIME 2022-2 TRUST,PP1
PEPPER RESIDENTIAL SECURITIES TRUST NO. 30,PEA
PIEDMONT LITHIUM INC.,PLL
PILBARA MINERALS LIMITED,PLS
PLAYSIDE STUDIOS LIMITED,PLY
POWERHOUSE VENTURES LIMITED,PVL
PRAEMIUM LIMITED,PPS
PRESCIENT THERAPEUTICS LIMITED,PTX
PUMA SERIES 2019-1,PU2
PYC THERAPEUTICS LIMITED,PYC
QNB FINANCE LTD,QNB
RAIDEN RESOURCES LIMITED,RDN
RAPTIS GROUP LIMITED,RPG
RBR GROUP LIMITED,RBR
RECHARGE METALS LIMITED,REC
REEDY LAGOON CORPORATION LIMITED,RLC
REGIS HEALTHCARE LIMITED,REG
REMSENSE TECHNOLOGIES LIMITED,REM
RENERGEN LIMITED,RLT
RESONANCE HEALTH LIMITED,RHT
REVASUM INC.,RVS
RIDLEY CORPORATION LIMITED,RIC
SCENTRE GROUP TRUST 1 AND SCENTRE GROUP TRUST 2,SCA
SENSEN NETWORKS LIMITED,SNS
SERIES 2014-2 WST TRUST,WEK
SIGMA HEALTHCARE LIMITED,SIG
STAVELY MINERALS LIMITED,SVY
STRATA INVESTMENT HOLDINGS PLC,SRT
STRATEGIC ELEMENTS LIMITED,SOR
TECHNOLOGY ONE LIMITED,TNE
THORNEY OPPORTUNITIES LTD,TOP
TRIGG MINERALS LIMITED,TMG
URBANISE.COM LIMITED,UBN
VENUS METALS CORPORATION LIMITED,VMC
VULCAN ENERGY RESOURCES LIMITED,VUL
WAGNERS HOLDING COMPANY LIMITED,WGN
WEST COBAR METALS LIMITED,WC1
WHITEFIELD INDUSTRIALS LIMITED,WHF
XREF LIMITED,XF1
ZOONO GROUP LIMITED,ZNO
360 CAPITAL GROUP,TGP
5G NETWORKS LIMITED.,5GN
8VI HOLDINGS LIMITED,8VI
AFG 2022-2 TRUST IN RESPECT OF SERIES 2022-2,AF3
